LicenseID,License Type,Name of Program,County,Capacity,Ages Served/FCC Classification,Initial Effective Date,StateAsOfDate,License State,Year
1074044,Child Care Center,Lake Area Discovery Center at Annunciation School,Hennepin,20,"Preschool, ",8/27/2014,8/27/2014,Active,2018
1074050,Child Care Center,Primrose School of Minnetonka,Hennepin,203,"Infant, Toddler, Preschool, ",10/13/2014,10/13/2014,Active,2018
1074075,Child Care Center,Way to Grow Preschool,Hennepin,23,"Preschool, ",9/2/2014,9/2/2014,Active,2018
1074254,Child Care Center,Kinder Village,Ramsey,29,"Infant, Toddler, Preschool, ",4/1/2015,4/1/2015,Active,2018
1074262,Child Care Center,Lil Tykes Childcare LLC,Anoka,82,"Infant, Toddler, Preschool, School Age",1/2/2015,1/2/2015,Active,2018
1074352,Child Care Center,First Step Preschool & Childcare LLC,Sherburne,65,"Preschool, ",9/5/2014,9/5/2014,Active,2018
1074391,Child Care Center,Great Start Montessori School Inc,Hennepin,70,"Infant, Toddler, Preschool, School Age",10/1/2014,10/1/2014,Active,2018
1074419,Child Care Center,Faithful Beginnings at Highland Catholic School,Ramsey,40,"Preschool, ",2/19/2015,2/19/2015,Active,2018
1074442,Child Care Center,Southwestern Minnesota Opportunity Council,Nobles,29,"Preschool, ",9/8/2014,9/8/2014,Active,2018
1074453,Child Care Center,Little Sprouts Preschool and Daycare,Blue Earth,50,"Infant, Toddler, Preschool, ",5/11/2016,5/11/2016,Active,2018
1074494,Child Care Center,Hmoob Toj Siab Childrens House,Ramsey,30,"Preschool, ",12/1/2014,12/1/2014,Active,2018
1074500,Child Care Center,Crossroads Kids 4 Christ,Lac Qui Parle,20,"Toddler, Preschool, ",9/25/2014,9/14/2018,Closed,2018
1074551,Child Care Center,United Child Daycare LLC,Hennepin,89,"Infant, Toddler, Preschool, School Age",12/15/2014,4/22/2018,Active,2018
1074559,Child Care Center,New Horizon Academy,Hennepin,156,"Infant, Toddler, Preschool, School Age",8/25/2014,8/25/2014,Active,2018
1074583,Child Care Center,New Creations Child Care & Learning Center,Hennepin,94,"Infant, Toddler, Preschool, ",8/18/2014,8/18/2014,Active,2018
1074585,Child Care Center,New Creations Child Care & Learning Center,Anoka,111,"Infant, Toddler, Preschool, School Age",8/18/2014,8/18/2014,Active,2018
1074587,Child Care Center,Bright Horizons Academy LLC,Hennepin,123,"Infant, Toddler, Preschool, School Age",2/5/2015,2/5/2015,Active,2018
1074720,Child Care Center,Small World Learning Center,Dakota,88,"Infant, Toddler, Preschool, School Age",7/7/2014,2/3/2018,Active,2018
1074733,Child Care Center,Gods Little Treasures Childcare,Hennepin,66,"Infant, Toddler, Preschool, ",9/17/2014,9/17/2014,Active,2018
1074750,Child Care Center,Plymouth Academy,Hennepin,138,"Infant, Toddler, Preschool, School Age",1/21/2015,1/21/2015,Active,2018
1074753,Child Care Center,Dawn of Discovery,Sherburne,116,"Infant, Toddler, Preschool, School Age",1/1/2015,1/1/2015,Active,2018
1074767,Child Care Center,St Johns Lutheran Preschool,Carver,20,"Preschool, ",8/31/2015,8/31/2015,Active,2018
1074777,Child Care Center,Nativity of Mary Preschool,Hennepin,60,"Preschool, ",9/7/2016,9/7/2016,Active,2018
1074780,Child Care Center,Little Lambs Learning Center,Renville,42,"Infant, Toddler, Preschool, ",9/8/2014,9/8/2014,Active,2018
1074790,Child Care Center,Many Rivers Montessori c/o Jefferson Square,St. Louis,119,"Toddler, Preschool, School Age",9/3/2014,9/3/2014,Active,2018
1074881,Child Care Center,Global Learning Childcare Center LLC,Hennepin,138,"Infant, Toddler, Preschool, School Age",9/9/2015,8/16/2018,Closed,2018
1074885,Child Care Center,Apple Academy Learning Center LLC Wyoming,Chisago,98,"Infant, Toddler, Preschool, School Age",1/26/2015,1/26/2015,Active,2018
1074961,Child Care Center,Building Blocks Learning Center,St. Louis,65,"Infant, Toddler, Preschool, School Age",8/25/2014,2/26/2018,Active,2018
1075008,Child Care Center,Lil Newtons Nest,Hennepin,124,"Infant, Toddler, Preschool, ",9/2/2014,9/2/2014,Active,2018
1075411,Child Care Center,Play Island Preschool,Renville,20,"Preschool, ",1/23/2015,8/27/2018,Closed,2018
1075412,Child Care Center,Kids Grow Hope,Hennepin,59,"Infant, Toddler, Preschool, School Age",5/18/2015,5/18/2015,Active,2018
1075436,Child Care Center,Al Huda Child Daycare Center Inc,Scott,113,"Infant, Toddler, Preschool, School Age",1/29/2015,3/5/2018,Revoked,2018
1075534,Child Care Center,Anna's Bananas Daycare & Preschool,Dakota,40,"Infant, ",11/10/2015,11/10/2015,Active,2018
1075545,Child Care Center,Olu's Beginnings,Hennepin,110,"Infant, Toddler, Preschool, School Age",7/1/2015,7/1/2015,Active,2018
1075558,Child Care Center,Early Childhood Family Development Training Center,Hennepin,16,"Infant, Toddler, ",4/20/2015,4/20/2015,Active,2018
1075699,Child Care Center,Lake Area Discovery Center at Annunciation,Hennepin,40,"Preschool, ",8/27/2014,8/27/2014,Active,2018
1075884,Child Care Center,WSU Childrens Center W-K Elementary School,Winona,34,"Preschool, ",9/10/2014,6/11/2018,Closed,2018
1075907,Child Care Center,Montessori American Indian Childcare Center,Ramsey,30,"Preschool, ",11/19/2014,11/19/2014,Active,2018
1075935,Child Care Center,Little School Inc (The),Ramsey,40,"Infant, Toddler, Preschool, ",1/1/2015,1/1/2015,Active,2018
1075950,Child Care Center,Magic Forest Childcare Center & Preschool LLC,Wadena,30,"Infant, Toddler, Preschool, ",1/12/2015,1/12/2015,Active,2018
1075984,Child Care Center,Bright Star Daycare,Olmsted,102,"Infant, Toddler, Preschool, School Age",3/26/2015,3/26/2015,Active,2018
1076039,Child Care Center,New Horizon Academy,Hennepin,148,"Infant, Toddler, Preschool, School Age",1/19/2015,1/19/2015,Active,2018
1076083,Child Care Center,Brooklyn Bridge Preschool,Hennepin,14,"Preschool, ",9/8/2015,9/8/2015,Active,2018
1076119,Child Care Center,Orchard Park Crosstown,Hennepin,40,"Infant, Toddler, Preschool, ",1/5/2015,1/5/2015,Active,2018
1076213,Child Care Center,Minnesota Child Care Center,Hennepin,102,"Infant, Toddler, Preschool, School Age",3/23/2015,3/23/2015,Active,2018
1076251,Child Care Center,Little Rabbits Hole,Dakota,30,"Infant, Toddler, Preschool, School Age",5/15/2015,5/15/2015,Active,2018
1076277,Child Care Center,Quality Kid Care Center Inc,Olmsted,74,"Infant, Toddler, Preschool, School Age",3/20/2015,3/20/2015,Active,2018
1076380,Child Care Center,Small World Learning Center,Washington,111,"Infant, Toddler, Preschool, School Age",2/25/2015,2/25/2015,Active,2018
1076388,Child Care Center,Jefferson Childrens Center,St. Louis,97,"Infant, Toddler, Preschool, School Age",10/1/2015,10/1/2015,Active,2018
1076579,Child Care Center,Highland Village Montessori School,Ramsey,41,"Infant, Toddler, Preschool, ",1/9/2015,1/9/2015,Active,2018
1076780,Child Care Center,Lil Bees Learning Center,Blue Earth,72,"Infant, Toddler, Preschool, ",2/16/2015,2/16/2015,Active,2018
1076797,Child Care Center,Holy Trinity Catholic School,Morrison,50,"Preschool, School Age",8/30/2016,8/30/2016,Active,2018
1076817,Child Care Center,Pond Early Childhood Family Development Center,Hennepin,28,"Toddler, Preschool, ",1/13/2015,1/13/2015,Active,2018
1076829,Child Care Center,St Charles Child Care,Winona,83,"Infant, Toddler, Preschool, School Age",5/4/2015,5/4/2015,Active,2018
1076954,Child Care Center,Lil' Explorers Inc,Wright,209,"Infant, Toddler, Preschool, School Age",6/8/2015,6/8/2015,Active,2018
1076984,Child Care Center,Laker Prep Early Childhood Center,Becker,86,"Infant, Toddler, Preschool, School Age",4/20/2015,4/20/2015,Active,2018
1077022,Child Care Center,Language of Love Spanish Immersion LLC,Carver,30,"Infant, Toddler, Preschool, ",4/15/2015,4/15/2015,Active,2018
1077077,Child Care Center,Small Sprouts Preschool,Martin,20,"Preschool, ",9/8/2015,9/8/2015,Active,2018
1077083,Child Care Center,A to Z Family Child Care Inc,Hennepin,30,"Infant, Toddler, Preschool, School Age",7/22/2016,1/29/2018,Closed,2018
1077140,Child Care Center,Listos Preschool & Childcare,Olmsted,57,"Preschool, School Age",9/1/2015,9/1/2015,Active,2018
1077239,Child Care Center,Lake Area Discovery Center @ Calvin Christian School,Hennepin,40,"Preschool, School Age",9/2/2015,9/2/2015,Active,2018
1077241,Child Care Center,Montessori School of Duluth,St. Louis,55,"Preschool, School Age",5/5/2017,5/5/2017,Active,2018
1077259,Child Care Center,Wooddale Academy,Hennepin,64,"Infant, Toddler, Preschool, ",6/1/2015,6/1/2015,Active,2018
1077304,Child Care Center,Little Steps Childcare Center,Ramsey,31,"Infant, Toddler, Preschool, ",2/15/2016,2/15/2016,Active,2018
1077315,Child Care Center,Creative Kids Academy Inc,Dakota,85,"Infant, Toddler, Preschool, School Age",6/8/2015,6/8/2015,Active,2018
1077323,Child Care Center,Jana Childcare Development Center,Ramsey,78,"Infant, Toddler, Preschool, School Age",4/28/2017,7/2/2018,Closed,2018
1077401,Child Care Center,Edgcumbe Montessori & Day Care,Ramsey,50,"Infant, Toddler, Preschool, ",6/9/2015,6/9/2015,Active,2018
1077406,Child Care Center,Appletime Inc,Sherburne,96,"Infant, Toddler, Preschool, School Age",1/1/2016,1/1/2016,Active,2018
1077407,Child Care Center,Appletime Inc,Hennepin,115,"Infant, Toddler, Preschool, School Age",1/1/2016,1/1/2016,Active,2018
1077416,Child Care Center,Escuela Mundial Child Care Center Inc,Scott,97,"Infant, Toddler, Preschool, School Age",11/2/2015,11/2/2015,Active,2018
1077423,Child Care Center,Creative Wonders Childcare Co,Dakota,82,"Infant, Toddler, Preschool, School Age",5/22/2015,5/22/2015,Active,2018
1077489,Child Care Center,Sam & Abes Child Care Learning & Development Center,Nicollet,57,"Infant, Toddler, Preschool, ",7/27/2015,7/27/2015,Active,2018
1077552,Child Care Center,Pennys Care Childcare LLC,Hennepin,36,"Toddler, Preschool, School Age",2/29/2016,8/20/2018,Conditional: Subject to Appeal,2018
1077606,Child Care Center,Future Leaders Early Learning Center Inc,Hennepin,90,"Infant, Toddler, Preschool, School Age",1/23/2016,1/23/2016,Active,2018
1077621,Child Care Center,St. Pascal Baylon Early Learning Center,Ramsey,76,"Preschool, ",9/8/2015,1/10/2017,Active,2018
1077655,Child Care Center,Stepping Stones Early Learning Center,Anoka,170,"Infant, Toddler, Preschool, School Age",8/17/2015,8/17/2015,Active,2018
1077705,Child Care Center,Little Hearts Preschool & Childcare,St. Louis,66,"Infant, Toddler, Preschool, ",9/8/2015,9/8/2015,Active,2018
1077738,Child Care Center,Little Learners Academy LLC,Douglas,74,"Infant, Toddler, Preschool, School Age",9/28/2015,9/28/2015,Active,2018
1077802,Child Care Center,Un Mundo Nuevo Spanish Immersion Childrens Academy LLC,Dakota,27,"Toddler, Preschool, School Age",7/22/2015,7/22/2015,Active,2018
1077804,Child Care Center,First Daycare Center LLC,Hennepin,120,"Infant, Toddler, Preschool, School Age",12/21/2015,7/1/2017,Active,2018
1077905,Child Care Center,Language of Love Spanish Immersion LLC,Hennepin,74,"Infant, Toddler, Preschool, ",9/23/2015,9/23/2015,Active,2018
1077914,Child Care Center,ABC123 Child Enrichment Center LLC,Clay,76,"Infant, Toddler, Preschool, School Age",3/7/2016,3/7/2016,Active,2018
1077916,Child Care Center,Prestige Preschool Academy,Hennepin,178,"Infant, Toddler, Preschool, School Age",8/5/2015,8/5/2015,Active,2018
1077930,Child Care Center,Anna's Bananas Daycare & Preschool Inc,Dakota,165,"Infant, Toddler, Preschool, ",6/1/2015,6/1/2015,Active,2018
