school_district,school_name,K_enroll,MMR_pct_vac,MMR_pct_nodoses,MMR_pct_nonmedical,MMR_pct_medical,notes
MINNEAPOLIS,LAKE NOKOMIS COMMUNITY SCHOOL - WENONAH CAMPUS,105,0.8667,0.1238,0.0095,0.0000,
ST. PAUL,HEIGHTS,75,0.8667,0.1333,0.0000,0.0000,
PERHAM,HEART OF THE LAKE EL.,106,0.8679,0.1132,0.0189,0.0000,
CLEVELAND PUBLIC SCHOOL,CLEVELAND PUBLIC SCHOOL,38,0.8684,0.0263,0.1053,0.0000,
BRANDON – EVANSVILLE,BRANDON-EVANSVILLE ELEM K-3,46,0.8696,0.0652,0.0652,0.0000,
MINNEAPOLIS,BRYN MAWR EL.,54,0.8704,0.1296,0.0000,0.0000,
YINGHAU,YINGHUA ACADEMY,85,0.8706,0.0235,0.1059,0.0000,
OWATONNA,ST MARYS - MARIAN,31,0.8710,0.0968,0.0323,0.0000,
BELGRADE-BROOTEN-ELROSA,BELGRADE-BROOTEN-ELROSA EL.,39,0.8718,0.1026,0.0256,0.0000,
GRAND MEADOW,GRAND MEADOW ELEMENTARY,39,0.8718,0.1026,0.0256,0.0000,
MINNEAPOLIS,BARTON OPEN EL.,78,0.8718,0.1154,0.0128,0.0000,
"PARTNERSHIP ACADEMY, INC","PARTNERSHIP ACADEMY, INC",39,0.8718,0.1282,0.0000,0.0000,
DILWORTH-GLYNDON-FELTON,DILWORTH EL.,102,0.8725,0.1275,0.0000,0.0000,
ROSEVILLE,CENTRAL PARK EL.,71,0.8732,0.1268,0.0000,0.0000,
BELLE PLAINE,TRINITY LUTHERAN,8,0.8750,0.0000,0.1250,0.0000,
DELANO,ST MAXIMILIAN KOLBE,8,0.8750,0.1250,0.0000,0.0000,
EDGERTON,EDGERTON EL.,40,0.8750,0.1000,0.0250,0.0000,
ELK RIVER,ST JOHNS LUTHERAN,8,0.8750,0.1250,0.0000,0.0000,
FERGUS FALLS,OUR LADY OF VICTORY,16,0.8750,0.0000,0.1250,0.0000,
GLENCOE-SILVER LAKE,FIRST EV LUTHERAN,16,0.8750,0.0000,0.1250,0.0000,
KERKHOVEN-MURDOCK-SUNBURG,MURDOCK EL.,56,0.8750,0.0714,0.0536,0.0000,
LAFAYETTE PUBLIC CHARTER,LAFAYETTE PUBLIC CHARTER SCHOOL,16,0.8750,0.1250,0.0000,0.0000,
MARSHALL,HOLY REDEEMER,24,0.8750,0.1250,0.0000,0.0000,
MARTIN COUNTY WEST,TRIMONT EL.,16,0.8750,0.0000,0.1250,0.0000,
MINNEAPOLIS,ARMATAGE EL.,104,0.8750,0.0769,0.0481,0.0000,
MOUNTAIN LAKE,MOUNTAIN LAKE CHRISTIAN,8,0.8750,0.0000,0.1250,0.0000,
NICOLLET,NICOLLET EL.,24,0.8750,0.1250,0.0000,0.0000,
SOUTHLAND,SACRED HEART,16,0.8750,0.0000,0.1250,0.0000,
ST. CLOUD,MONTESSORI SCHOOL OF ST CLOUD I,8,0.8750,0.0000,0.1250,0.0000,
ST. CLOUD MATH & SCIENCE ACADEMY,ST. CLOUD MATH & SCIENCE ACADEMY,40,0.8750,0.1250,0.0000,0.0000,
ST. PAUL,MATERNITY OF MARY/ST ANDREW,24,0.8750,0.0833,0.0417,0.0000,
TRI-CITY UNITED SCHOOL DISTRICT,HOLY REDEEMER,8,0.8750,0.1250,0.0000,0.0000,
MINNETONKA,MINNEWASHTA EL.,161,0.8758,0.0000,0.1118,0.0124,
ELY,WASHINGTON EL.,49,0.8776,0.1020,0.0000,0.0204,
ADA-BORUP,ADA EL.,41,0.8780,0.1220,0.0000,0.0000,
BURNSVILLE,GIDEON POND EL.,91,0.8791,0.0330,0.0879,0.0000,
ST. PAUL,MISSISSIPPI,91,0.8791,0.0989,0.0220,0.0000,
DULUTH PUBLIC SCHOOLS ACADEMY,RALEIGH EDISON CHARTER SCHOOL,50,0.8800,0.0800,0.0400,0.0000,
"INTERNATIONAL SPANISH LANGUAGE ACADEMY
",INTERNATIONAL SPANISH LANGUAGE ACADEMY,50,0.8800,0.0200,0.0800,0.0200,
BUFFALO,DISCOVERY EL.,42,0.8810,0.0000,0.0714,0.0476,
NEVIS,NEVIS ELEMENTARY,42,0.8810,0.0000,0.1190,0.0000,
HOPKINS,EISENHOWER EL.,59,0.8814,0.0339,0.0678,0.0169,
ST. PAUL,CHELSEA HEIGHTS,76,0.8816,0.0658,0.0526,0.0000,
EDINA,CALVIN CHRISTIAN - EDINA,17,0.8824,0.0588,0.0588,0.0000,
NORTH ST PAUL-MAPLEWOOD,CHRIST LUTHERAN,17,0.8824,0.1176,0.0000,0.0000,
