school_district,school_name,K_enroll,MMR_pct_vac,MMR_pct_nodoses,MMR_pct_nonmedical,MMR_pct_medical,notes
MINNEAPOLIS,FOLWELL PERFORMING ARTS MAGNET,97,0.9588,0.0206,0.0206,0.0000,
CHASKA,CHANHASSEN ELEMENTARY,73,0.9589,0.0000,0.0411,0.0000,
OWATONNA,WASHINGTON EL.,73,0.9589,0.0274,0.0137,0.0000,
ROBBINSDALE,FAIR--PILGRIM LANE ELEMENTARY,73,0.9589,0.0000,0.0411,0.0000,
SIBLEY EAST,SIBLEY EAST-GAYLORD EL.,73,0.9589,0.0274,0.0137,0.0000,
BLOOMINGTON,INDIAN MOUNDS EL.,49,0.9592,0.0000,0.0408,0.0000,
LAKEVIEW,LAKEVIEW PUBLIC SCHOOLS,49,0.9592,0.0408,0.0000,0.0000,
INTERNATIONAL FALLS,FALLS ELEMENTARY,74,0.9595,0.0135,0.0270,0.0000,
ALBANY,ALBANY EL.,99,0.9596,0.0000,0.0404,0.0000,
ANOKA-HENNEPIN,MADISON EL.,75,0.9600,0.0267,0.0133,0.0000,
BATTLE LAKE,BATTLE LAKE EL.,25,0.9600,0.0000,0.0400,0.0000,
GRAND RAPIDS,ST JOSEPH,25,0.9600,0.0000,0.0400,0.0000,
HERMANTOWN,HERMANTOWN EL.,150,0.9600,0.0000,0.0400,0.0000,
MARSHALL COUNTY CENTRAL SCHOOLS,VIKING ELEMENTARY,25,0.9600,0.0000,0.0400,0.0000,
ROCHESTER,GIBBS ELEMENTARY SCHOOL,153,0.9608,0.0131,0.0196,0.0065,
ROSEMOUNT-APPLE VALLEY-EAGAN,SHANNON PARK EL.,102,0.9608,0.0000,0.0392,0.0000,
FARIBAULT,ROOSEVELT EL.,77,0.9610,0.0130,0.0260,0.0000,
MORRIS AREA PUBLIC SCHOOLS,MORRIS AREA ELEMENTARY,77,0.9610,0.0130,0.0260,0.0000,
ST. MICHAEL-ALBERTVILLE,ALBERTVILLE PRIMARY EL.,412,0.9612,0.0073,0.0291,0.0024,
ALEXANDRIA,CARLOS EL.,26,0.9615,0.0000,0.0385,0.0000,
MABEL-CANTON,MABEL-CANTON,26,0.9615,0.0000,0.0385,0.0000,
RUSH CITY,C.E. JACOBSON EL.,52,0.9615,0.0192,0.0192,0.0000,
SPRING GROVE,SPRING GROVE PUBLIC SCHOOLS,26,0.9615,0.0000,0.0385,0.0000,
WOODBURY LEADERSHIP ACADEMY,WOODBURY LEADERSHIP ACADEMY,52,0.9615,0.0385,0.0000,0.0000,
ORONO,SCHUMANN EL.,183,0.9617,0.0383,0.0000,0.0000,
MOUNDS VIEW,PIKE LAKE KINDERGARTEN CENTER,523,0.9618,0.0153,0.0229,0.0000,
NEW LONDON-SPICER,PRAIRIE WOODS EL.,105,0.9619,0.0000,0.0381,0.0000,
PRIOR LAKE-SAVAGE AREA SCHOOLS,EDGEWOOD,79,0.9620,0.0127,0.0253,0.0000,
ST. PAUL,BATTLE CREEK EL.,79,0.9620,0.0127,0.0253,0.0000,
OSSEO,WOODLAND ELEMENTARY SCHOOL,132,0.9621,0.0076,0.0303,0.0000,
STEWARTVILLE,BONNER EL.,159,0.9623,0.0000,0.0377,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,GREENLEAF EL.,133,0.9624,0.0226,0.0150,0.0000,
OWATONNA,LINCOLN EL.,80,0.9625,0.0125,0.0125,0.0125,
ROBBINSDALE,MEADOW LAKE EL.,80,0.9625,0.0125,0.0250,0.0000,
BRAHAM,BRAHAM EL.,54,0.9630,0.0000,0.0370,0.0000,
COLUMBIA HEIGHTS,HIGHLAND EL.,81,0.9630,0.0123,0.0247,0.0000,
LITTLE FALLS,LINDBERGH EL.,81,0.9630,0.0000,0.0370,0.0000,
MAPLE RIVER,MAPLE RIVER EAST EL.,27,0.9630,0.0000,0.0370,0.0000,
RICHFIELD,RICHFIELD DUAL LANGUAGE SCHOOL,81,0.9630,0.0123,0.0247,0.0000,
ROCHESTER,RIVERSIDE CENTRAL,81,0.9630,0.0000,0.0370,0.0000,
EDINA,NORMANDALE EL.,109,0.9633,0.0092,0.0275,0.0000,
COLUMBIA HEIGHTS,NORTH PARK EL.,55,0.9636,0.0182,0.0182,0.0000,
SAUK RAPIDS,RICE EL.,55,0.9636,0.0000,0.0364,0.0000,
NORTH ST PAUL-MAPLEWOOD,CARVER EL.,83,0.9639,0.0120,0.0241,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,DIAMOND PATH EL.,111,0.9640,0.0000,0.0360,0.0000,
WASECA,HARTLEY ELEMENTARY,111,0.9640,0.0270,0.0090,0.0000,
BEMIDJI,ST PHILIP,28,0.9643,0.0357,0.0000,0.0000,
LANESBORO,LANESBORO PUBLIC SCHOOL,28,0.9643,0.0000,0.0357,0.0000,
LYND,LYND EL.,28,0.9643,0.0357,0.0000,0.0000,
OSSEO,EDINBROOK EL.,112,0.9643,0.0089,0.0268,0.0000,
SOUTH WASHINGTON COUNTY,GORDON BAILEY EL.,113,0.9646,0.0000,0.0265,0.0088,
ESKO,WINTERQUIST EL.,85,0.9647,0.0353,0.0000,0.0000,
AUSTIN,WOODSON COMMUNITY SCHOOL,399,0.9649,0.0100,0.0150,0.0100,
JACKSON COUNTY CENTRAL,RIVERSIDE ELEMENTARY,57,0.9649,0.0000,0.0351,0.0000,
ELK RIVER,TWIN LAKES ELEMENTARY,86,0.9651,0.0000,0.0349,0.0000,
MINNEAPOLIS,LAKE HARRIET LOWER,144,0.9653,0.0139,0.0139,0.0069,
BEMIDJI,JW SMITH,58,0.9655,0.0345,0.0000,0.0000,
CHISAGO LAKES,CHISAGO LAKES EL.,174,0.9655,0.0000,0.0345,0.0000,
NORTH ST PAUL-MAPLEWOOD,WEBSTER EL.,58,0.9655,0.0172,0.0172,0.0000,
RED LAKE COUNTY CENTRAL SCHOOLS,RED LAKE COUNTY CENTRAL ELEMENTARY,29,0.9655,0.0345,0.0000,0.0000,
SOUTH WASHINGTON COUNTY,ARMSTRONG ELEMENTARY,58,0.9655,0.0000,0.0172,0.0172,
MINNEAPOLIS,BURROUGHS EL.,117,0.9658,0.0085,0.0256,0.0000,
ST. ANTHONY-NEW BRIGHTON,WILSHIRE PARK EL.,117,0.9658,0.0085,0.0256,0.0000,
MARSHALL,PARK SIDE EL.,176,0.9659,0.0284,0.0057,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,WESTVIEW EL.,88,0.9659,0.0114,0.0227,0.0000,
WHITE BEAR LAKE,VADNAIS HEIGHTS EL.,59,0.9661,0.0000,0.0339,0.0000,
WILLMAR,KENNEDY EL.,119,0.9664,0.0084,0.0252,0.0000,
EAST GRAND FORKS,NEW HEIGHTS EL.,149,0.9664,0.0067,0.0201,0.0067,
NEW ULM,NEW ULM AREA CATHOLIC SCHOOL,30,0.9667,0.0000,0.0333,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,EAST LAKE ELEMENTARY SCHOOL,120,0.9667,0.0000,0.0333,0.0000,
VERNDALE,VERNDALE EL.,30,0.9667,0.0000,0.0333,0.0000,
WHITE BEAR LAKE,LAKEAIRES EL.,60,0.9667,0.0167,0.0167,0.0000,
WINONA AREA PUBLIC SCHOOLS,JEFFERSON EL.,60,0.9667,0.0167,0.0167,0.0000,
FARMINGTON,RIVERVIEW ELEMENTARY,121,0.9669,0.0165,0.0165,0.0000,
HASTINGS,PINECREST EL.,121,0.9669,0.0000,0.0331,0.0000,
CHASKA,JONATHAN EL.,91,0.9670,0.0000,0.0330,0.0000,
CLOQUET,CHURCHILL EL.,91,0.9670,0.0220,0.0110,0.0000,
MOUNDS VIEW,SNAIL LAKE KINDERGARTEN CENTER,337,0.9674,0.0148,0.0178,0.0000,
EDINA,HIGHLANDS EL.,92,0.9674,0.0109,0.0217,0.0000,
SAUK RAPIDS,MISSISSIPPI HEIGHTS ELEMENTARY,185,0.9676,0.0000,0.0324,0.0000,
ALEXANDRIA,ST MARYS SCHOOL,31,0.9677,0.0000,0.0323,0.0000,
ANOKA-HENNEPIN,WILSON EL.,186,0.9677,0.0108,0.0215,0.0000,
HASTINGS,KENNEDY EL.,62,0.9677,0.0161,0.0161,0.0000,
NORTH ST PAUL-MAPLEWOOD,COWERN EL.,62,0.9677,0.0161,0.0161,0.0000,
ST. PAUL,OBAMA,62,0.9677,0.0000,0.0323,0.0000,
MANKATO,WASHINGTON EL.,63,0.9683,0.0000,0.0317,0.0000,
ANOKA-HENNEPIN,MCKINLEY EL.,95,0.9684,0.0000,0.0316,0.0000,
ALDEN,ALDEN-CONGER EL.,32,0.9688,0.0000,0.0313,0.0000,
BIG LAKE,LIBERTY  ELEMENTARY,225,0.9689,0.0000,0.0311,0.0000,
BRAINERD,RIVERSIDE EL.,97,0.9691,0.0206,0.0103,0.0000,
LAKEVILLE,LAKE MARION EL.,97,0.9691,0.0000,0.0309,0.0000,
WHITE BEAR LAKE,HUGO EL.,162,0.9691,0.0000,0.0309,0.0000,
MELROSE,MELROSE EL.,65,0.9692,0.0000,0.0308,0.0000,
STILLWATER,STONEBRIDGE EL.,65,0.9692,0.0000,0.0308,0.0000,
WHITE BEAR LAKE,LINCOLN EL.,65,0.9692,0.0000,0.0308,0.0000,
LESUEUR-HENDERSON,PARK EL.,66,0.9697,0.0303,0.0000,0.0000,
MANKATO,EAGLE LAKE EL.,66,0.9697,0.0152,0.0152,0.0000,
MARTIN COUNTY WEST,SHERBURN EL.,33,0.9697,0.0000,0.0303,0.0000,
OSSEO,FAIR OAKS EL.,66,0.9697,0.0152,0.0152,0.0000,
WAYZATA,BLAKE LOWER SCHOOL-HIGHCROFT CAMPU,33,0.9697,0.0000,0.0303,0.0000,
WAYZATA,GREENWOOD EL.,132,0.9697,0.0000,0.0303,0.0000,
ANOKA-HENNEPIN,CHAMPLIN BROOKLYN PARK ACADEMY,133,0.9699,0.0226,0.0075,0.0000,
BARNESVILLE,BARNESVILLE EL.,67,0.9701,0.0000,0.0299,0.0000,
MORA,TRAILVIEW EL.,101,0.9703,0.0099,0.0099,0.0099,
CEDAR MOUNTAIN,CEDAR MOUNTAIN EL.,34,0.9706,0.0000,0.0294,0.0000,
INVER GROVE HEIGHTS SCHOOLS,SALEM HILLS EL.,34,0.9706,0.0000,0.0294,0.0000,
MANKATO,HOOVER EL.,102,0.9706,0.0000,0.0294,0.0000,
PARKERS PRAIRIE,PARKERS PRAIRIE ELEMENTARY,34,0.9706,0.0000,0.0294,0.0000,
WESTBROOK-WALNUT GROVE SCH,WALNUT GROVE ELEMENTARY,34,0.9706,0.0294,0.0000,0.0000,
HIBBING,WASHINGTON EL.,103,0.9709,0.0000,0.0291,0.0000,
WACONIA,LAKETOWN ELEMENTARY,103,0.9709,0.0097,0.0194,0.0000,
MINNEAPOLIS,WINDOM DUAL IMMERSION,104,0.9712,0.0000,0.0288,0.0000,
NORTH BRANCH,SUNRISE RIVER ELE. SCHOOL,174,0.9713,0.0000,0.0287,0.0000,
ANOKA-HENNEPIN,ADAMS EL.,70,0.9714,0.0000,0.0286,0.0000,
ANOKA-HENNEPIN,MORRIS BYE EL.,70,0.9714,0.0000,0.0286,0.0000,
FOREST LAKE,LINO LAKES EL.,70,0.9714,0.0000,0.0143,0.0143,
GRAND RAPIDS,SOUTHWEST EL.,70,0.9714,0.0000,0.0286,0.0000,
OGILVIE,OGILVIE PUBLIC SCHOOLS,35,0.9714,0.0000,0.0286,0.0000,
ST. CLOUD,ST. KATHARINE DREXEL SCHOOL,35,0.9714,0.0000,0.0286,0.0000,
BURNSVILLE,SKY OAKS EL.,71,0.9718,0.0000,0.0282,0.0000,
HASTINGS,CHRISTA MCAULIFFE EL.,107,0.9720,0.0000,0.0280,0.0000,
SARTELL,OAK RIDGE ELEMENTARY,145,0.9724,0.0000,0.0276,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,CEDAR PARK ELEMENTARY,109,0.9725,0.0000,0.0275,0.0000,
ANOKA-HENNEPIN,RAMSEY EL.,73,0.9726,0.0137,0.0137,0.0000,
DEER RIVER,KING EL.,73,0.9726,0.0137,0.0137,0.0000,
ROCORI,COLD SPRING EL.,73,0.9726,0.0000,0.0274,0.0000,
EAST GRAND FORKS,SACRED HEART ELEMENTARY,37,0.9730,0.0000,0.0270,0.0000,
EDEN PRAIRIE,PRAIRIE VIEW EL.,111,0.9730,0.0000,0.0180,0.0090,
FARIBAULT,FARIBAULT CONSOLIDATED CATHOLIC,37,0.9730,0.0000,0.0270,0.0000,
MAPLE RIVER,MAPLE RIVER WEST EL.,37,0.9730,0.0270,0.0000,0.0000,
OWATONNA,WILSON EL.,75,0.9733,0.0133,0.0000,0.0133,
TRITON,TRITON MIDDLE SCHOOL,75,0.9733,0.0267,0.0000,0.0000,
FARMINGTON,MEADOWVIEW ELEMENTARY SCHOOL,113,0.9735,0.0088,0.0177,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,RED PINE ELEMENTARY,114,0.9737,0.0000,0.0263,0.0000,
FARIBAULT,LINCOLN EL.,77,0.9740,0.0260,0.0000,0.0000,
MINNEAPOLIS,KENWOOD EL.,77,0.9740,0.0000,0.0260,0.0000,
ANOKA-HENNEPIN,JOHNSVILLE EL.,155,0.9742,0.0129,0.0129,0.0000,
CHASKA,KINDERGARTEN CENTER,78,0.9744,0.0000,0.0128,0.0128,
OSSEO,ST VINCENT DE PAUL,39,0.9744,0.0000,0.0256,0.0000,
ROCHESTER,SUNSET TERRACE EL.,117,0.9744,0.0085,0.0171,0.0000,
ST. FRANCIS,CEDAR CREEK COMMUNITY EL.,117,0.9744,0.0000,0.0256,0.0000,
HOPKINS,L.H. TANGLEN EL.,79,0.9747,0.0000,0.0253,0.0000,
SHAKOPEE,JACKSON ELEMENTARY,158,0.9747,0.0000,0.0253,0.0000,
STILLWATER,LILY LAKE EL.,79,0.9747,0.0000,0.0253,0.0000,
SOUTH ST. PAUL,KAPOSIA EDUCATION CENTER EL.,119,0.9748,0.0168,0.0084,0.0000,
SOUTH ST. PAUL,LINCOLN CENTER EL.,119,0.9748,0.0168,0.0084,0.0000,
ANOKA-HENNEPIN,EISENHOWER EL.,120,0.9750,0.0083,0.0167,0.0000,
N.R.H.E.G.,NRHEG EL.,80,0.9750,0.0125,0.0125,0.0000,
PROCTOR,PIKE LAKE EL.,40,0.9750,0.0250,0.0000,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,HIGHLAND EL.,120,0.9750,0.0083,0.0167,0.0000,
RTR,RTR ELEMENTARY SCHOOL,40,0.9750,0.0000,0.0250,0.0000,
WINDOM,WINFAIR EL.,80,0.9750,0.0250,0.0000,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,WOODLAND EL.,121,0.9752,0.0000,0.0083,0.0165,
CROOKSTON,WASHINGTON EL.,81,0.9753,0.0247,0.0000,0.0000,
NORTH ST PAUL-MAPLEWOOD,OAKDALE EL.,82,0.9756,0.0000,0.0244,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,FAITHFUL SHEPHERD CATHOLIC,41,0.9756,0.0000,0.0244,0.0000,
WINONA AREA PUBLIC SCHOOLS,MADISON EL.,41,0.9756,0.0000,0.0244,0.0000,
NORTHFIELD,SIBLEY EL.,83,0.9759,0.0000,0.0241,0.0000,
SOUTH WASHINGTON COUNTY,RED ROCK ELEMENTARY,83,0.9759,0.0000,0.0241,0.0000,
ST. PAUL,EXPO,125,0.9760,0.0080,0.0160,0.0000,
SARTELL,ST FRANCIS XAVIER,42,0.9762,0.0000,0.0238,0.0000,
WEST ST. PAUL-MENDOTA HTS.-EAGAN,ST JOSEPH,42,0.9762,0.0238,0.0000,0.0000,
ANOKA-HENNEPIN,HAMILTON EL.,85,0.9765,0.0235,0.0000,0.0000,
PROCTOR,BAY VIEW EL.,85,0.9765,0.0000,0.0118,0.0118,
ROCHESTER,ELTON HILLS EL.,86,0.9767,0.0000,0.0233,0.0000,
ROCHESTER,GAGE EL.,129,0.9767,0.0000,0.0233,0.0000,
HIBBING,GREENHAVEN EL.,87,0.9770,0.0000,0.0230,0.0000,
MINNEAPOLIS,EMERSON SPANISH IMMERSION,87,0.9770,0.0000,0.0230,0.0000,
PRIOR LAKE-SAVAGE AREA SCHOOLS,GLENDALE EL.,87,0.9770,0.0000,0.0230,0.0000,
WAYZATA,GLEASON LAKE EL.,88,0.9773,0.0114,0.0000,0.0114,
ROCHESTER,BAMBER VALLEY EL.,133,0.9774,0.0000,0.0226,0.0000,
HOPKINS,BRECK,45,0.9778,0.0000,0.0222,0.0000,
MINNEAPOLIS,RISEN CHRIST,45,0.9778,0.0222,0.0000,0.0000,
NASHWAUK-KEEWATIN,KEEWATIN EL.,45,0.9778,0.0000,0.0000,0.0222,
CHASKA,BLUFF CREEK EL.,91,0.9780,0.0000,0.0220,0.0000,
FARMINGTON,NORTH TRAIL EL.,92,0.9783,0.0109,0.0109,0.0000,
OSSEO,ELM CREEK ELEMENTARY,92,0.9783,0.0109,0.0109,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,OAK RIDGE EL.,92,0.9783,0.0000,0.0217,0.0000,
CALEDONIA,CALEDONIA EL.,47,0.9787,0.0213,0.0000,0.0000,
INVER GROVE HEIGHTS SCHOOLS,HILLTOP EL.,94,0.9787,0.0000,0.0213,0.0000,
JANESVILLE-WALDORF-PEMBERTON,JANESVILLE-WALDORF-PEMBERTON EL.,47,0.9787,0.0213,0.0000,0.0000,
WAYZATA,PLYMOUTH CREEK ELEMENTARY,94,0.9787,0.0000,0.0213,0.0000,
SOUTH WASHINGTON COUNTY,ROYAL OAKS EL.,95,0.9789,0.0000,0.0105,0.0105,
SOUTH WASHINGTON COUNTY,LIBERTY RIDGE ELEMENTARY SITE 2,143,0.9790,0.0000,0.0210,0.0000,
ELK RIVER,PARKER ELEMENTARY,96,0.9792,0.0000,0.0104,0.0104,
LAKEVILLE,CHERRY VIEW EL.,96,0.9792,0.0104,0.0104,0.0000,
MOUNTAIN LAKE,MOUNTAIN LAKE EL.,48,0.9792,0.0000,0.0208,0.0000,
ST. LOUIS PARK,PARK SPANISH IMMERSION EL.,96,0.9792,0.0104,0.0104,0.0000,
OSSEO,CREST VIEW EL.,50,0.9800,0.0000,0.0200,0.0000,
ROCHESTER,FRANKLIN EL.,102,0.9804,0.0000,0.0196,0.0000,
ST. PETER,SOUTH EL.,153,0.9804,0.0196,0.0000,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,GLACIER HILLS ELEMENTARY SCHOOL OF ARTS & SCIENCE,103,0.9806,0.0000,0.0194,0.0000,
ANOKA-HENNEPIN,RUM RIVER ELEMENTARY,155,0.9806,0.0065,0.0129,0.0000,
FOREST LAKE,LINWOOD EL.,52,0.9808,0.0192,0.0000,0.0000,
HAYFIELD,HAYFIELD EL.,52,0.9808,0.0000,0.0192,0.0000,
MOUNDS VIEW,ST ODILIA,52,0.9808,0.0000,0.0192,0.0000,
CLOQUET,WASHINGTON EL.,105,0.9810,0.0095,0.0095,0.0000,
BLOOMING PRAIRIE,BLOOMING PRAIRIE EL.,53,0.9811,0.0000,0.0000,0.0189,
HOPKINS,XINXING ACADEMY,53,0.9811,0.0000,0.0189,0.0000,
MURRAY COUNTY CENTRAL,MURRAY CO. CENTRAL EL.,54,0.9815,0.0000,0.0185,0.0000,
CHASKA,CARVER ELEMENTARY SCHOOL,109,0.9817,0.0000,0.0183,0.0000,
ELK RIVER,PRARIE VIEW ELEMENTARY & MIDDLE SCHOOL,109,0.9817,0.0092,0.0092,0.0000,
SHAKOPEE,RED OAK ELEMENTARY,109,0.9817,0.0092,0.0092,0.0000,
WAYZATA,KIMBERLY LANE EL.,111,0.9820,0.0000,0.0180,0.0000,
ROCHESTER,LONGFELLOW EL.,56,0.9821,0.0000,0.0179,0.0000,
ST. CHARLES,ST. CHARLES EL.,56,0.9821,0.0179,0.0000,0.0000,
ROCHESTER,FOLWELL EL.,58,0.9828,0.0000,0.0172,0.0000,
ST. PAUL,PHALEN LAKE,116,0.9828,0.0086,0.0000,0.0086,
HOPKINS,GLEN LAKE EL.,59,0.9831,0.0000,0.0169,0.0000,
WAYZATA,MEADOWRIDGE ELEMENTARY,122,0.9836,0.0000,0.0164,0.0000,
ANOKA-HENNEPIN,SAND CREEK EL.,124,0.9839,0.0081,0.0081,0.0000,
WORTHINGTON,PRAIRIE EL.,249,0.9839,0.0080,0.0040,0.0040,
ROYALTON,ROYALTON EL.,63,0.9841,0.0000,0.0159,0.0000,
PARK RAPIDS,PARK RAPIDS AREA CENTURY EL.,127,0.9843,0.0157,0.0000,0.0000,
ST. PAUL,NATIVITY,64,0.9844,0.0156,0.0000,0.0000,
EDEN PRAIRIE,CEDAR RIDGE EL.,65,0.9846,0.0000,0.0154,0.0000,
OSSEO,BIRCH GROVE EL.,65,0.9846,0.0000,0.0154,0.0000,
SOUTH WASHINGTON COUNTY,PULLMAN EL.,65,0.9846,0.0000,0.0154,0.0000,
CANNON FALLS,CANNON FALLS EL.,66,0.9848,0.0000,0.0000,0.0152,
CHATFIELD,CHATFIELD ELEMENTARY SCHOOL,66,0.9848,0.0152,0.0000,0.0000,
CHATFIELD,CHATFIELD SEC.,66,0.9848,0.0152,0.0000,0.0000,
STILLWATER,AFTON-LAKELAND EL.,66,0.9848,0.0152,0.0000,0.0000,
GRAND RAPIDS,MURPHY EL.,68,0.9853,0.0000,0.0147,0.0000,
SOUTH WASHINGTON COUNTY,HILLSIDE EL.,68,0.9853,0.0147,0.0000,0.0000,
SOUTH WASHINGTON COUNTY,GREY CLOUD EL.,137,0.9854,0.0000,0.0146,0.0000,
ROBBINSDALE,LAKEVIEW EL.,69,0.9855,0.0000,0.0000,0.0145,
RED LAKE,KINDERGARDEN CENTER,139,0.9856,0.0144,0.0000,0.0000,
BLUE EARTH AREA PUBLIC SCHOOL,BLUE EARTH EL.,71,0.9859,0.0141,0.0000,0.0000,
SOUTH WASHINGTON COUNTY,PINE HILL EL.,71,0.9859,0.0141,0.0000,0.0000,
ANOKA-HENNEPIN,ANDOVER EL.,214,0.9860,0.0093,0.0047,0.0000,
HAWLEY,HAWLEY EL.,72,0.9861,0.0000,0.0139,0.0000,
TRITON,TRITON PRIMARY EL.,73,0.9863,0.0137,0.0000,0.0000,
BURNSVILLE,HARRIET BISHOP EL.,74,0.9865,0.0000,0.0000,0.0135,
ST. LOUIS PARK,PETER HOBART EL.,75,0.9867,0.0133,0.0000,0.0000,
WILLMAR,ROOSEVELT EL.,75,0.9867,0.0000,0.0133,0.0000,
LACRESCENT-HOKAH,LACRESCENT-HOKAH EL.,76,0.9868,0.0132,0.0000,0.0000,
MANKATO,FRANKLIN EL.,78,0.9872,0.0000,0.0128,0.0000,
MANKATO,MONROE EL.,79,0.9873,0.0000,0.0127,0.0000,
ALEXANDRIA,VOYAGER EL.,80,0.9875,0.0000,0.0125,0.0000,
ROCHESTER,BISHOP EL.,80,0.9875,0.0125,0.0000,0.0000,
ANOKA-HENNEPIN,HOOVER EL.,81,0.9877,0.0000,0.0123,0.0000,
GREENWAY,VANDYKE EL.,84,0.9881,0.0000,0.0119,0.0000,
ROBBINSDALE,NORTHPORT EL.,84,0.9881,0.0000,0.0119,0.0000,
ST. JAMES,ST. JAMES NORTHSIDE EL.,84,0.9881,0.0119,0.0000,0.0000,
PRIOR LAKE-SAVAGE AREA SCHOOLS,JEFFERS POND ELEMENTARY,85,0.9882,0.0000,0.0118,0.0000,
KASSON-MANTORVILLE,KASSON-MANTORVILLE EL.,172,0.9884,0.0000,0.0116,0.0000,
WEST ST. PAUL-MENDOTA HTS.-EAGAN,SOMERSET EL.,86,0.9884,0.0000,0.0116,0.0000,
CENTENNIAL,CENTERVILLE EL.,88,0.9886,0.0000,0.0114,0.0000,
LUVERNE,LUVERNE EL.,88,0.9886,0.0000,0.0114,0.0000,
NORTHFIELD,BRIDGEWATER EL.,88,0.9886,0.0114,0.0000,0.0000,
SOUTH WASHINGTON COUNTY,WOODBURY EL.,88,0.9886,0.0114,0.0000,0.0000,
BLOOMINGTON,OLSON EL.,89,0.9888,0.0000,0.0112,0.0000,
ROSEMOUNT-APPLE VALLEY-EAGAN,PINEWOOD EL.,93,0.9892,0.0000,0.0108,0.0000,
OSSEO,WEAVER LAKE EL.,95,0.9895,0.0000,0.0105,0.0000,
FARMINGTON,AKIN ROAD EL.,97,0.9897,0.0000,0.0103,0.0000,
PEM,PLAINVIEW ELGIN MILLVILLE K-3,97,0.9897,0.0000,0.0103,0.0000,
MINNEAPOLIS,HIAWATHA EL.,99,0.9899,0.0101,0.0000,0.0000,
ZUMBROTA-MAZEPPA,ZUMBROATA-MAZEPPA PRIMARY,104,0.9904,0.0000,0.0096,0.0000,
INVER GROVE HEIGHTS SCHOOLS,PINE BEND EL.,105,0.9905,0.0000,0.0095,0.0000,
WAYZATA,SUNSET HILL EL.,106,0.9906,0.0000,0.0094,0.0000,
HOPKINS,MEADOWBROOK EL.,113,0.9912,0.0000,0.0088,0.0000,
EDINA,CONCORD EL.,118,0.9915,0.0000,0.0085,0.0000,
THIEF RIVER FALLS,CHALLENGER EL.,166,0.9940,0.0000,0.0060,0.0000,
ALBANY,HOLY FAMILY-ALBANY,13,1.0000,0.0000,0.0000,0.0000,
ALEXANDRIA,WOODLAND,78,1.0000,0.0000,0.0000,0.0000,
ALEXANDRIA,ZION LUTHERAN,16,1.0000,0.0000,0.0000,0.0000,
ANOKA-HENNEPIN,CROSS OF CHRIST LUTHERAN,13,1.0000,0.0000,0.0000,0.0000,
ANOKA-HENNEPIN,LINCOLN EL.,80,1.0000,0.0000,0.0000,0.0000,
ANOKA-HENNEPIN,ST STEPHEN,45,1.0000,0.0000,0.0000,0.0000,
ASHBY,ASHBY EL.,23,1.0000,0.0000,0.0000,0.0000,
BERTHA-HEWITT,BERTHA-HEWITT PUBLIC SCHOOLS,38,1.0000,0.0000,0.0000,0.0000,
BLOOMINGTON,BETHANY ACADEMY,10,1.0000,0.0000,0.0000,0.0000,
BLOOMINGTON,NATIVITY OF MARY,20,1.0000,0.0000,0.0000,0.0000,
BRAINERD,HARRISON EL.,35,1.0000,0.0000,0.0000,0.0000,
BROWERVILLE,BROWERVILLE EL.,40,1.0000,0.0000,0.0000,0.0000,
BROWERVILLE,CHRIST THE KING PAROCHIAL,7,1.0000,0.0000,0.0000,0.0000,
BROWNS VALLEY,BROWNS VALLEY PUBLIC SCHOOL,22,1.0000,0.0000,0.0000,0.0000,
BURNSVILLE,ST JOHN THE BAPTIST-SAVAGE,26,1.0000,0.0000,0.0000,0.0000,
BUTTERFIELD,BUTTERFIELD EL.,16,1.0000,0.0000,0.0000,0.0000,
CANBY,ST PETER,13,1.0000,0.0000,0.0000,0.0000,
CASS LAKE-BENA SCHOOLS,CASS LAKE-BENA EL.,111,1.0000,0.0000,0.0000,0.0000,
CHASKA,EAST UNION EL.,23,1.0000,0.0000,0.0000,0.0000,
CHASKA,GUARDIAN ANGELS,5,1.0000,0.0000,0.0000,0.0000,
CHASKA,ST JOHNS LUTHERAN-CHASKA,18,1.0000,0.0000,0.0000,0.0000,
CHOKIO-ALBERTA,CHOKIO-ALBERTA PUBLIC SCHOOLS,5,1.0000,0.0000,0.0000,0.0000,
CLARKFIELD AREA CHARTER SCHOOL,CLARKFIELD AREA CHARTER SCHOOL,15,1.0000,0.0000,0.0000,0.0000,
CLOQUET,QUEEN OF PEACE,17,1.0000,0.0000,0.0000,0.0000,
COLUMBIA HEIGHTS,IMMACULATE CONCEPTION,15,1.0000,0.0000,0.0000,0.0000,
COLUMBIA HEIGHTS,VALLEY VIEW EL.,68,1.0000,0.0000,0.0000,0.0000,
COMFREY,COMFREY EL.,6,1.0000,0.0000,0.0000,0.0000,
