school_district,school_name,K_enroll,DTAP_pct_vac,DTAP_partial_nodoses,DTAP_pct_nonmedical,DTAP_pct_medical,POLIO_pct_vac,POLIO_partial_nodoses,POLIO_pct_nonmedical,POLIO_pct_medical,MMR_pct_vac,MMR_pct_nodoses,MMR_pct_nonmedical,MMR_pct_medical,HEPB_pct_vac,HEPB_pct_partial_nodoses,HEPB_pct_nonmedical,HEPB_pct_medical,VARICEL_pct_vac,VARICEL_partial_nodoses,VARICEL_pct_disease_history,VARICEL_pct_nonmedical,VARICEL_pct_medical,category
ROSEVILLE,HAND IN HAND CHRISTIAN MONTESSORI,30,0.7,0.0333,0.2667,0,0.7,0.0333,0.2667,0,0.7000,0.0333,0.2667,0,0.6667,0.0667,0.2667,0,0.6333,0.0667,0.0333,0.2667,0,very low
CHISAGO LAKES,CHISAGO LAKES BAPTIST,10,0.7,0.2,0.1,0,0.8,0.1,0.1,0,0.7000,0.2,0.1,0,0.9,0,0.1,0,0.7,0.2,0,0.1,0,very low
MINNEAPOLIS,HMONG INTERNATIONAL ACADEMY,57,0.6491,0.3158,0.0351,0,0.7193,0.2807,0,0,0.7000,0.2982,0,0,0.807,0.193,0,0,0.6667,0.3333,0,0,0,very low
BRIGHT WATER MONTESSORI SCHOOL,BRIGHT WATER ELEMENTARY,24,0.7083,0.2917,0,0,0.7083,0.2917,0,0,0.7100,0.2917,0,0,0.9167,0.0833,0,0,0.6667,0.3333,0,0,0,very low
CORNERSTONE MONTESSORI EL.,CORNERSTONE MONTESSORI EL.,24,0.7083,0.2917,0,0,0.7083,0.2917,0,0,0.7100,0.2917,0,0,0.8333,0.1667,0,0,0.6667,0.3333,0,0,0,very low
MINNEAPOLIS,CITYVIEW COMMUNITY EL.,62,0.7258,0.2742,0,0,0.7097,0.2903,0,0,0.7100,0.2903,0,0,0.7419,0.2581,0,0,0.7097,0.2903,0,0,0,very low
ACHIEVE LANGUAGE ACADEMY,ACHIEVE LANGUAGE ACADEMY,45,0.7111,0.2889,0,0,0.6889,0.3111,0,0,0.7100,0.2889,0,0,0.8222,0.1778,0,0,0.7111,0.2889,0,0,0,very low
ST. CLOUD,ST CLOUD CHRISTIAN,14,0.7143,0,0.2857,0,0.7143,0,0.2857,0,0.7100,0,0.2857,0,0.7143,0,0.2857,0,0.7143,0,0,0.2857,0,very low
ROSEMOUNT-APPLE VALLEY-EAGAN,HERITAGE LUTHERAN SCHOOL,7,0.8571,0,0.1429,0,0.8571,0,0.1429,0,0.7100,0.1429,0.1429,0,0.8571,0,0.1429,0,0.7143,0.1429,0,0.1429,0,very low
BDOTE LEARNING CENTER,BDOTE LEARNING CENTER,14,0.7857,0.2143,0,0,0.7143,0.2857,0,0,0.7100,0.2857,0,0,1,0,0,0,0.7143,0.2857,0,0,0,very low
DULUTH,MONTESSORI SCH OF DULUTH,14,0.7143,0.2857,0,0,0.7143,0.2857,0,0,0.7100,0.2857,0,0,0.8571,0.1429,0,0,0.7143,0.2857,0,0,0,very low
GLACIAL HILLS ELEMENTARY,GLACIAL HILLS ELEMENTARY,14,0.7857,0.2143,0,0,0.7857,0.2143,0,0,0.7100,0.2857,0,0,1,0,0,0,0.7143,0.2857,0,0,0,very low
ROCHESTER MATH AND SCIENCE ACADEMY,ROCHESTER MATH AND SCIENCE ACADEMY,32,0.8438,0.1563,0,0,0.9375,0.0625,0,0,0.7200,0.2813,0,0,0.9375,0.0625,0,0,0.75,0.25,0,0,0,very low
BIRD ISLAND-OLIVIA-LAKE LILLIAN,ST MARY,18,0.7222,0,0.2778,0,0.7222,0,0.2778,0,0.7200,0,0.2778,0,0.7222,0,0.2778,0,0.7222,0,0,0.2778,0,very low
KALEIDOSCOPE CHARTER SCHOOL,KALEIDOSCOPE CHARTER SECONDARY,69,0.7826,0.0145,0.2029,0,0.7826,0.0145,0.2029,0,0.7200,0.0435,0.2319,0,0.7391,0.0435,0.2174,0,0.7101,0.0435,0,0.2464,0,very low
ST. FRANCIS,CROWN CHRISTIAN SCHOOL,11,0.7273,0,0.2727,0,0.7273,0,0.2727,0,0.7300,0,0.2727,0,0.7273,0,0.2727,0,0.7273,0,0,0.2727,0,very low
ROSEMOUNT-APPLE VALLEY-EAGAN,GOOD SHEPHERD LUTHERAN,11,0.8182,0,0.1818,0,0.8182,0,0.1818,0,0.7300,0,0.1818,0.0909,0.8182,0,0.1818,0,0.7273,0,0,0.1818,0.0909,very low
NEW DISCOVERIES,NEW DISCOVERIES MONTESSORI ELEMENTARY,22,0.7727,0.1818,0.0455,0,0.7727,0.1818,0.0455,0,0.7300,0.2273,0.0455,0,0.9545,0,0.0455,0,0.7273,0.2273,0,0.0455,0,very low
NORTHLAND COMMUNITY SCHOOLS,REMER EL.,33,0.7273,0.2121,0.0303,0.0303,0.7576,0.2121,0.0303,0,0.7300,0.2424,0.0303,0,0.8788,0.0909,0.0303,0,0.697,0.2727,0,0.0303,0,very low
CLIMAX,CLIMAX ELEMENTARY,11,0.8182,0.1818,0,0,0.7273,0.2727,0,0,0.7300,0.2727,0,0,0.8182,0.1818,0,0,0.6364,0.3636,0,0,0,very low
SWAN RIVER MONTESSORI CHARTER SCH,SWAN RIVER MONTESSORI CHARTER SCH,26,0.7308,0.0385,0.2308,0,0.7308,0.0385,0.2308,0,0.7300,0.0385,0.2308,0,0.7692,0,0.2308,0,0.6923,0.0385,0,0.2692,0,very low
CROMWELL-WRIGHT,CROMWELL-WRIGHT EL.,15,0.8,0.2,0,0,0.8,0.2,0,0,0.7300,0.2667,0,0,0.9333,0.0667,0,0,0.7333,0.2667,0,0,0,very low
SOUTH ST. PAUL,HOLY TRINITY,15,0.7333,0.2667,0,0,0.7333,0.2667,0,0,0.7300,0.2667,0,0,0.7333,0.2667,0,0,0.7333,0.2667,0,0,0,very low
MENAHGA,MENAHGA ELEMENTARY SCHOOL,79,0.7342,0,0.2658,0,0.7342,0,0.2658,0,0.7300,0,0.2658,0,0.7975,0,0.2025,0,0.6076,0,0.1519,0.2405,0,very low
MINNEAPOLIS,PRATT,49,0.8163,0.1429,0.0408,0,0.7347,0.2041,0.0612,0,0.7300,0.1837,0.0816,0,0.8776,0.0408,0.0816,0,0.7551,0.1837,0,0.0612,0,very low
PIPESTONE AREA SCHOOLS,BROWN EL.,98,0.7449,0.2347,0.0204,0,0.7449,0.2347,0.0204,0,0.7300,0.2449,0.0204,0,0.8673,0.1122,0.0204,0,0.7449,0.2347,0,0.0204,0,very low
LEVEL UP ACADEMY,LEVEL UP ACADEMY,19,0.7368,0,0.2632,0,0.7368,0,0.2632,0,0.7400,0,0.2632,0,0.5263,0.2105,0.2632,0,0.6842,0.0526,0,0.2632,0,very low
ASPEN ACADEMY,ASPEN ACADEMY,88,0.8295,0,0.1705,0,0.75,0,0.25,0,0.7400,0.0114,0.25,0,0.7614,0.0114,0.2273,0,0.75,0,0,0.25,0,very low
OSSEO,MARANATHA CHRISTIAN ACADEMY-BROOKLY,39,0.7949,0,0.2051,0,0.7692,0,0.2308,0,0.7400,0,0.2564,0,0.7436,0,0.2564,0,0.7436,0,0.0769,0.1795,0,very low
MILACA,COMMUNITY CHRISTIAN SCHOOL,8,0.75,0,0.25,0,0.75,0,0.25,0,0.7500,0,0.25,0,0.75,0,0.25,0,0.75,0,0,0.25,0,very low
JORDAN,ST JOHN THE BAPTIST,12,0.75,0,0.25,0,0.8333,0,0.1667,0,0.7500,0,0.25,0,0.8333,0,0.1667,0,0.75,0,0,0.25,0,very low
LAKEVILLE,CHRISTIAN HERITAGE ACADEMY,20,0.8,0,0.2,0,0.75,0,0.25,0,0.7500,0,0.25,0,0.8,0,0.2,0,0.7,0,0,0.3,0,very low
ANOKA-HENNEPIN,NORTHSIDE CHRISTIAN BLAINE CAMPUS,12,0.75,0.0833,0.1667,0,0.75,0.0833,0.1667,0,0.7500,0.0833,0.1667,0,0.8333,0,0.1667,0,0.75,0.0833,0,0.1667,0,very low
GREENBUSH-MIDDLE RIVER,GREENBUSH EL.,12,0.75,0.1667,0.0833,0,0.8333,0.0833,0.0833,0,0.7500,0.1667,0.0833,0,0.9167,0,0.0833,0,0.75,0.1667,0,0.0833,0,very low
LEWISTON-ALTURA,ST JOHN,12,0.75,0.1667,0.0833,0,0.75,0.1667,0.0833,0,0.7500,0.1667,0.0833,0,0.9167,0,0.0833,0,0.75,0.1667,0,0.0833,0,very low
MINNETONKA,ST THERESE,12,0.8333,0.0833,0.0833,0,0.9167,0.0833,0,0,0.7500,0.1667,0.0833,0,0.9167,0,0.0833,0,0.75,0.1667,0,0.0833,0,very low
ST. PAUL,HIGHWOOD HILLS,44,0.8636,0.1136,0.0227,0,0.8409,0.1364,0.0227,0,0.7500,0.2045,0.0455,0,0.8864,0.0909,0.0227,0,0.7727,0.1818,0,0.0227,0.0227,very low
MINNEAPOLIS,MINNEHAHA ACADEMY LOWER,32,0.75,0.2188,0.0313,0,0.75,0.2188,0.0313,0,0.7500,0.2188,0.0313,0,0.7188,0.25,0.0313,0,0.75,0.2188,0,0.0313,0,very low
BRECKENRIDGE,ST MARY,8,0.75,0.25,0,0,0.75,0.25,0,0,0.7500,0.25,0,0,1,0,0,0,0.75,0.25,0,0,0,very low
HUTCHINSON,NORTHWOODS ELEMENTARY,8,0.75,0.25,0,0,0.75,0.25,0,0,0.7500,0.25,0,0,0.875,0.125,0,0,0.75,0.25,0,0,0,very low
NORTH METRO FLEX ACADEMY,NORTH METERO FLEX ACADEMY,36,0.8056,0.1944,0,0,0.7222,0.2778,0,0,0.7500,0.25,0,0,0.8056,0.1944,0,0,0.75,0.25,0,0,0,very low
MINNEAPOLIS,SULLIVAN,59,0.7627,0.2203,0.0169,0,0.8644,0.1356,0,0,0.7600,0.2203,0.0169,0,0.9492,0.0508,0,0,0.8136,0.1864,0,0,0,very low
BLOOMINGTON,RAMALYNN MONTESSORI ACADEMY,17,0.7647,0.1765,0.0588,0,0.7647,0.2353,0,0,0.7600,0.2353,0,0,0.9412,0.0588,0,0,0.7647,0.2353,0,0,0,very low
CLINTON-GRACEVILLE-BEARDSLEY,CLINTON-GRACEVILLE-BEARDSLEY EL.,17,0.7647,0.2353,0,0,0.7647,0.2353,0,0,0.7600,0.2353,0,0,0.9412,0.0588,0,0,0.7647,0.2353,0,0,0,very low
LAPORTE,LAPORTE EL.,30,0.7667,0.1667,0.0667,0,0.7667,0.1667,0.0667,0,0.7700,0.1667,0.0667,0,0.9333,0,0.0667,0,0.7667,0.1667,0,0.0667,0,very low
CLEARBROOK-GONVICK,CLEARBROOK-GONVICK SCHOOL,30,0.8,0.2,0,0,0.8,0.2,0,0,0.7700,0.2333,0,0,0.9,0.1,0,0,0.7333,0.2667,0,0,0,very low
SHAKOPEE,LIVING HOPE LUTHERAN SCHOOL,13,0.7692,0,0.2308,0,0.7692,0,0.2308,0,0.7700,0,0.2308,0,0.6923,0,0.3077,0,0.6923,0,0,0.3077,0,very low
RUSHFORD-PETERSON,RUSHFORD-PETERSON EL.,39,0.7949,0.2051,0,0,0.7949,0.2051,0,0,0.7700,0.2308,0,0,0.8205,0.1795,0,0,0.7692,0.2308,0,0,0,very low
MN MATH AND SCIENCE ACADEMY,MINNESOTA MATH AND SCIENCE ACADEMY,52,1,0,0,0,1,0,0,0,0.7700,0.2308,0,0,1,0,0,0,1,0,0,0,0,very low
ST. PAUL,MAXFIELD,35,0.7143,0.2857,0,0,0.6857,0.3143,0,0,0.7700,0.2286,0,0,0.9429,0.0571,0,0,0.7714,0.2286,0,0,0,very low
